PNU,주용도코드명,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률(%),건폐율(%)
1171010200100200000,공동주택,0.0,595.2,14396.51,0.0,0.0
1171010200100200000,공동주택,0.0,495.58,9816.51,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,495.58,7754.31,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,8997.04,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,13092.32,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,14396.51,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,13961.78,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,6318.74,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,13092.32,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,6318.74,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,11788.13,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,8098.51,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,495.58,8785.41,0.0,0.0
1171010200100200000,공동주택,0.0,595.2,15700.7,0.0,0.0
1171010200100200000,공동주택,0.0,495.58,8441.71,0.0,0.0
1171010200100200000,공동주택,0.0,442.15,11141.34,0.0,0.0
1171010200100200000,공동주택,0.0,389.51,9895.57,0.0,0.0
1171010200100200000,공동주택,0.0,537.73,9747.28,0.0,0.0
1171010200100200000,공동주택,0.0,352.7,7369.22,0.0,0.0
1171010200100200000,공동주택,0.0,300.1,5961.31,0.0,0.0
